Date and Time,Temperature,ECG,GSR,HR,IR,RED
2024-07-10 09:37:04.377476+00:00,81.48,0.0215,0.1349,72.14,104132.0,83031.0
2024-07-10 09:37:01.267598+00:00,81.48,0.0782,0.0743,71.85000000000001,103909.0,82894.0
2024-07-10 09:36:58.161287+00:00,81.27,0.0733,0.0802,13.98,103676.0,82733.0
2024-07-10 09:36:55.049498+00:00,81.81,0.0499,0.1359,0.1,103321.0,82595.0
2024-07-10 09:36:51.942628+00:00,81.59,0.0782,0.0518,71.46000000000001,103374.0,82485.0
2024-07-10 09:36:48.832304+00:00,81.66,0.0684,0.1554,0.0,103209.0,82369.0
2024-07-10 09:36:45.722831+00:00,81.59,0.0596,0.1036,71.85000000000001,102716.0,82052.0
2024-07-10 09:36:42.613001+00:00,81.16,0.0665,0.0078,46.53,98276.0,80258.0
2024-07-10 09:36:39.501295+00:00,81.48,0.0196,0.1114,71.75,93362.0,78105.0
2024-07-10 09:36:36.392915+00:00,81.45,0.0694,0.1036,26.979999999999997,92878.0,77883.0
2024-07-10 09:36:33.283705+00:00,81.48,0.043,0.1134,71.85000000000001,96887.0,79301.0
2024-07-10 09:36:30.175365+00:00,81.45,0.0596,0.0802,32.16,94428.0,77500.0
2024-07-10 09:36:27.067989+00:00,81.48,0.0596,0.1065,71.95,919.0,47047.0
2024-07-10 09:36:23.963012+00:00,81.48,0.0753,0.1496,0.0,850.0,1171.0
2024-07-10 09:36:20.857490+00:00,81.66,0.0792,0.1007,71.55,846.0,1161.0
2024-07-10 09:36:17.743959+00:00,81.66,0.0733,0.1163,0.29,898.0,1228.0
2024-07-10 09:36:14.630432+00:00,81.37,0.0166,0.1212,71.55,835.0,1227.0
2024-07-10 09:36:11.518932+00:00,81.66,0.0665,0.001,71.55,835.0,1196.0
2024-07-10 09:36:08.411554+00:00,81.37,0.0342,0.1124,71.65,866.0,1194.0
2024-07-10 09:36:05.302407+00:00,81.84,0.0723,0.1271,16.91,854.0,1222.0
2024-07-10 09:36:02.192751+00:00,81.59,0.0772,0.0665,71.46000000000001,810.0,1223.0
2024-07-10 09:35:59.086735+00:00,81.48,0.0235,0.1193,0.0,876.0,1191.0
2024-07-10 09:35:55.977398+00:00,81.48,0.0665,0.1505,4.01,850.0,1256.0
2024-07-10 09:35:52.865986+00:00,81.48,0.0635,0.0,71.65,849.0,1236.0
2024-07-10 09:35:49.754166+00:00,81.37,0.0782,0.0733,72.04,809.0,1222.0
2024-07-10 09:35:46.641687+00:00,81.45,0.0762,0.0899,71.75,824.0,1215.0
2024-07-10 09:35:43.544974+00:00,81.37,0.0235,0.1134,0.0,824.0,1215.0
2024-07-10 09:35:40.437098+00:00,81.37,0.0391,0.1593,0.0,847.0,1177.0
2024-07-10 09:35:37.361917+00:00,81.48,0.042,0.1554,0.0,860.0,1234.0
2024-07-10 09:35:34.286611+00:00,81.7,0.0694,0.0587,53.080000000000005,831.0,1230.0
2024-07-10 09:35:31.211824+00:00,81.23,0.0499,0.0,71.95,818.0,1188.0
2024-07-10 09:35:28.136039+00:00,81.55,0.0557,0.0391,71.95,863.0,1216.0
2024-07-10 09:30:42.640149+00:00,81.55,0.0,0.0753,0.0,0.0,0.0
2024-07-10 09:30:39.528484+00:00,81.66,0.0,0.0753,71.85000000000001,0.0,0.0
2024-07-10 09:30:36.419038+00:00,81.34,0.0,0.0792,71.85000000000001,0.0,0.0
2024-07-10 09:30:33.309832+00:00,81.81,0.0,0.0733,0.29,0.0,0.0
2024-07-10 09:30:30.199456+00:00,81.7,0.0,0.0772,71.36,0.0,0.0
2024-07-10 09:30:27.092064+00:00,81.66,0.2063,0.087,34.699999999999996,0.0,0.0
2024-07-10 09:30:23.985212+00:00,81.7,0.2082,0.086,41.94,0.0,0.0
2024-07-10 09:30:20.877694+00:00,81.55,0.0,0.087,38.42,0.0,0.0
2024-07-10 09:30:17.768155+00:00,81.45,0.2072,0.086,40.27,0.0,0.0
2024-07-10 09:30:14.658011+00:00,81.91,0.2111,0.085,38.91,0.0,0.0
2024-07-10 09:30:11.549726+00:00,81.7,0.2092,0.089,29.520000000000003,0.0,0.0
2024-07-10 09:30:08.439478+00:00,81.95,0.2082,0.086,41.449999999999996,0.0,0.0
2024-07-10 09:30:05.329382+00:00,81.84,0.2072,0.0841,29.330000000000002,0.0,0.0
2024-07-10 09:30:02.220179+00:00,81.81,0.2092,0.086,44.379999999999995,0.0,0.0
2024-07-10 09:29:59.108545+00:00,81.55,0.2072,0.087,71.46000000000001,0.0,0.0
2024-07-10 09:29:56.001285+00:00,81.59,0.2063,0.087,0.0,0.0,0.0
2024-07-10 09:29:52.895235+00:00,81.73,0.0,0.087,0.0,0.0,0.0
2024-07-10 09:29:49.790324+00:00,81.7,0.0,0.0753,1.5599999999999998,0.0,0.0
2024-07-10 09:29:46.713412+00:00,81.73,0.0,0.0753,72.43,0.0,0.0
2024-07-10 09:29:43.636192+00:00,81.66,0.0,0.0743,71.46000000000001,0.0,0.0
2024-07-10 09:29:40.558649+00:00,81.59,0.0,0.0753,28.050000000000004,0.0,0.0
2024-07-09 20:15:33.911926+00:00,84.72200000000004,0.3196,0.0127,0.0,0.0,0.0
2024-07-09 20:15:30.283251+00:00,84.97400000000002,0.3216,0.0029,0.0,0.0,0.0
2024-07-09 20:15:26.659002+00:00,84.97400000000002,0.3187,0.0078,0.0,0.0,0.0
2024-07-09 20:15:23.033118+00:00,84.83000000000004,0.3187,0.0117,55.43,0.0,0.0
2024-07-09 20:15:19.403244+00:00,84.97400000000002,0.3148,0.1623,72.53,0.0,0.0
2024-07-09 20:15:15.775236+00:00,84.97400000000002,0.3187,0.1554,70.58,0.0,0.0
2024-07-09 20:15:12.145850+00:00,84.75800000000001,0.3187,0.1535,70.97,0.0,0.0
2024-07-09 20:15:08.516427+00:00,84.97400000000002,0.3177,0.1535,70.97,0.0,0.0
2024-07-09 20:15:04.885326+00:00,85.01000000000008,0.3138,0.1496,34.8,0.0,0.0
2024-07-09 20:15:01.255292+00:00,85.08200000000002,0.3157,0.1486,70.38,0.0,0.0
2024-07-09 20:14:57.629075+00:00,85.08200000000002,0.2258,0.1584,68.52000000000001,0.0,0.0
2024-07-09 20:14:54.002582+00:00,91.5260000000001,0.3206,0.1564,70.87,0.0,0.0
2024-07-09 20:14:50.374680+00:00,89.00600000000003,0.3275,0.1613,70.58,0.0,0.0
2024-07-09 20:14:46.745310+00:00,84.83000000000004,0.3294,0.1613,18.96,0.0,0.0
2024-07-09 20:14:43.120837+00:00,84.75800000000001,0.3245,0.1408,1.76,0.0,0.0
2024-07-09 20:14:39.492955+00:00,84.86600000000001,0.3177,0.1525,70.87,0.0,0.0
2024-07-09 20:14:35.867083+00:00,85.69400000000007,0.3216,0.1339,40.37,0.0,0.0
2024-07-09 20:14:32.242618+00:00,85.58600000000007,0.0782,0.1515,0.0,0.0,0.0
2024-07-09 20:14:28.615535+00:00,85.94600000000005,0.3148,0.1525,70.38,0.0,0.0
2024-07-09 20:14:24.982462+00:00,85.73000000000005,0.3148,0.0469,0.0,0.0,0.0
2024-07-09 20:14:21.353143+00:00,84.83000000000004,0.2649,0.1535,8.02,0.0,0.0
2024-07-09 20:14:17.722153+00:00,85.19000000000003,0.3157,0.1505,70.19,0.0,0.0
2024-07-09 20:14:14.096284+00:00,84.6500000000001,0.3167,0.1525,13.59,0.0,0.0
2024-07-09 20:14:10.468012+00:00,84.6500000000001,0.0469,0.1564,28.84,0.0,0.0
2024-07-09 20:14:06.855872+00:00,84.90200000000007,0.3206,0.1544,68.33,0.0,0.0
2024-07-09 20:14:03.268139+00:00,84.83000000000004,0.0,0.1525,7.430000000000001,0.0,0.0
2024-07-09 20:13:59.678093+00:00,84.86600000000001,0.3138,0.1036,0.0,0.0,0.0
2024-07-09 20:13:56.088897+00:00,84.83000000000004,0.3138,0.1515,69.99,0.0,0.0
2024-07-09 20:12:27.407327+00:00,85.19000000000003,0.0948,0.1486,0.0,0.0,0.0
2024-07-09 20:12:23.777315+00:00,85.22600000000008,0.3206,0.1515,71.16,0.0,0.0
2024-07-09 20:12:20.215622+00:00,85.44200000000009,0.3196,0.1486,12.41,0.0,0.0
2024-07-09 20:12:16.654930+00:00,85.22600000000008,0.3167,0.1486,11.24,0.0,0.0
2024-07-09 20:12:13.094408+00:00,85.11800000000008,0.3177,0.1476,42.82,0.0,0.0
2024-07-09 20:11:43.412197+00:00,85.22600000000008,0.3245,0.1447,71.07,0.0,0.0
2024-07-09 20:11:39.782468+00:00,85.11800000000008,0.3265,0.1505,71.07,0.0,0.0
2024-07-09 20:11:36.219012+00:00,85.19000000000003,0.3255,0.1515,70.87,0.0,0.0
2024-07-09 20:04:33.595837+00:00,84.86600000000001,0.4096,0.0,0.0,0.0,0.0
2024-07-09 20:04:30.543700+00:00,84.86600000000001,0.4057,0.002,70.09,0.0,0.0
2024-07-09 20:04:27.486137+00:00,84.83000000000004,0.4125,0.0,0.0,0.0,0.0
2024-07-09 20:04:24.427745+00:00,84.75800000000001,0.4047,0.002,71.16,0.0,0.0
2024-07-06 19:15:12.229400+00:00,81.37,0.0782,0.0508,71.26,0.0,0.0
2024-07-06 19:15:09.131871+00:00,81.59,0.0782,0.0489,71.07,0.0,0.0
2024-07-06 19:15:06.023794+00:00,81.59,0.0772,0.0469,71.26,0.0,0.0
2024-07-06 19:15:02.928511+00:00,81.55,0.0802,0.043,24.14,0.0,0.0
2024-07-06 19:14:59.831274+00:00,81.7,0.0811,0.045,20.919999999999998,0.0,0.0
2024-07-06 19:14:56.741152+00:00,81.66,0.0596,0.0528,0.0,0.0,0.0
2024-07-06 19:14:53.650784+00:00,82.02,0.0577,0.045,39.1,0.0,0.0
2024-07-06 19:14:50.557838+00:00,81.55,0.0635,0.0508,0.0,0.0,0.0
2024-07-06 19:14:47.457822+00:00,95.41,0.0606,0.0479,0.0,0.0,0.0
2024-07-06 19:14:44.360600+00:00,95.56,0.0792,0.0499,9.969999999999999,0.0,0.0
2024-07-06 19:14:41.264898+00:00,95.63,0.0792,0.043,56.11000000000001,0.0,0.0
2024-07-06 19:14:38.169963+00:00,95.99,0.0557,0.0401,70.38,0.0,0.0
2024-07-06 19:14:35.072462+00:00,96.24,0.0802,0.0459,71.55,0.0,0.0
2024-07-06 19:14:31.976391+00:00,96.75,0.0782,0.0469,71.16,0.0,0.0
2024-07-06 19:14:28.880946+00:00,96.24,0.0831,0.045,70.97,0.0,0.0
2024-07-06 19:14:25.786869+00:00,94.8,0.0782,0.0616,54.55,0.0,0.0
